ID,Title,ChineseTitle,Pics,Publisher,Author,Pages,ISBN,Tags,Urls
14,Stable Mappings and Their Singularities,稳定映射及其奇点,gtm014.gif,Springer-Verlag,Martin Golubitsky ; Victor Guillemin,209,1,研究生数学教材|GTM014|奇点,http://d.119g.com/f/62E476F67BB1C47B.html
15,Lectures in functional analysis and operator theory,泛函分析及算子理论讲义,gtm015.gif,Springer-Verlag,Berberian,385,1,研究生数学教材|GTM015|泛函,http://d.119g.com/f/151671A3E121AF26.html
16,The structure of fields,域结构,gtm016.gif,Springer-Verlag,Winter,205,1,研究生数学教材|GTM016|域,http://d.119g.com/f/CD89270E5FEAB1A1.html
17,Random Processes(暂无),随机过程,gtm017.gif,Springer-Verlag,M Rosenblatt,228,1,研究生数学教材|GTM017|随机过程,
18,Measure Theory,测度论,gtm018.gif,Springer-Verlag,Halmos,304,1,研究生数学教材|GTM018|测度,http://d.119g.com/f/72B41645022D7A05.html
19,A Hilbert Space Problem Book,希尔伯特问题集,gtm019.gif,Springer-Verlag,Halmos,396,1,研究生数学教材|GTM019|希尔伯特问题,http://d.119g.com/f/1202173668C9010C.html
20,Fibre Bundles,纤维丛,gtm020.gif,Springer-Verlag,Dale Husemoller,372,1,研究生数学教材|GTM020|纤维丛,http://d.119g.com/f/B3CEB07E2EC16EFA.html
21,Linear Algebraic Groups,线性代数群,gtm021.gif,Springer-Verlag,James E. Humphreys,253,1,研究生数学教材|GTM019|线性代数|群,http://d.119g.com/f/3B69E87FA2D28491.html
22,An Algebraic Introduction to Mathematical Logic,数理逻辑代数导引,gtm022.gif,Springer-Verlag,Donald W. Barnes ; John M. Mack,121,1,研究生数学教材|GTM020|数理逻辑,http://d.119g.com/f/40C5D119E28489A1.html
23,Linear Algebra,线性代数,gtm023.gif,Springer-Verlag,Werner H. Greub,451,1,研究生数学教材|GTM021|线性代数,http://d.119g.com/f/56E1F2E3DFA67AC8.html
24,Geometric Functional Analysis and Its Applications,几何泛函分析及其应用,gtm024.gif,Springer-Verlag,Richard B. Holmes,246,1,研究生数学教材|GTM022|泛函|几何,http://d.119g.com/f/9E75CB4DA998CB58.html
